id,time,lat,lon,depth,mag,place
197,2015-06-02T14:04:21.100Z,38.15,20.45,15,4.6,4km SW of Argostolion - Greece
198,2015-06-01T00:31:58.780Z,42.8782,18.6833,10,4,20km E of Bileca - Bosnia and Herzegovina
199,2015-05-30T01:56:17.900Z,40.176,21.651,0.1,4,13km SE of Siatista - Greece
200,2015-05-29T13:07:57.260Z,42.92,14.3,10,4.4,31km E of Martinsicuro - Italy
201,2015-05-29T00:03:47.740Z,34.9734,26.7257,10,4,50km ESE of Palaikastron - Greece
202,2015-05-28T16:30:02.140Z,35.4296,27.0867,64.37,4.2,14km SW of Karpathos - Greece
203,2015-05-28T12:59:23.040Z,34.8942,26.7673,10,4.2,58km SE of Palaikastron - Greece
204,2015-05-28T12:56:38.550Z,34.926,26.764,9,4.2,55km ESE of Palaikastron - Greece
205,2015-05-26T17:53:05.430Z,40.2306,21.5639,17.13,4.4,3km SSE of Siatista - Greece
206,2015-05-23T08:45:22.900Z,38.675,22.716,1.8,4.2,6km NW of Elatia - Greece
207,2015-05-22T22:09:17.740Z,35.0175,26.8154,6.46,4.3,55km ESE of Palaikastron - Greece
208,2015-05-22T06:31:15.000Z,37.51,19.83,8,4.3,90km WSW of Mouzaki - Greece
209,2015-05-22T02:56:34.300Z,35.756,27.244,0,4,27km N of Karpathos - Greece
210,2015-05-21T21:02:45.850Z,36.5371,26.8343,143.31,4,25km SSW of Kefalos - Greece
211,2015-05-21T15:31:18.130Z,37.7402,19.907,10.34,4.2,68km SW of Lixourion - Greece
212,2015-05-18T23:13:58.380Z,34.5198,25.0482,10,4,54km S of Pirgos - Greece
213,2015-05-18T20:40:58.970Z,34.5488,25.0139,18.48,4.4,51km SSW of Pirgos - Greece
214,2015-05-18T18:35:13.920Z,36.7436,21.5263,47.64,4,18km WSW of Methoni - Greece
215,2015-05-18T17:35:34.070Z,35.301,23.2174,10,4.1,39km WSW of Platanos - Greece
216,2015-05-17T04:08:48.810Z,34.521,26.2895,24.86,4.4,65km SSE of Makry Gialos - Greece
217,2015-05-16T18:43:16.570Z,35.0603,26.7732,21.2,4.1,50km ESE of Palaikastron - Greece
218,2015-05-13T15:44:17.880Z,38.1158,20.3535,15.2,4,11km SW of Lixourion - Greece
219,2015-05-11T23:40:51.000Z,39.9942,33.2448,6.8,4,8km N of Elmadag - Turkey
220,2015-05-11T18:10:14.260Z,34.9625,26.7434,8.88,4,52km ESE of Palaikastron - Greece
221,2015-05-11T08:26:30.200Z,37.19,16.8,40,4.6,105km SE of Brancaleone Superiore - Italy
222,2015-05-11T05:02:01.360Z,35.072,26.87,30.9,4.3,57km SSW of Karpathos - Greece
223,2015-05-10T21:32:47.700Z,34.95,25.29,62,4.3,13km ESE of Pirgos - Greece
224,2015-05-09T08:22:41.000Z,38.6,15.36,215,4.7,38km ENE of Lipari - Italy
225,2015-05-08T05:48:52.090Z,36.7986,5.352,10,4.3,24km ENE of Bejaia - Algeria
226,2015-05-06T03:49:54.600Z,34.72,25.02,37,4.4,33km SSW of Pirgos - Greece
227,2015-05-05T13:33:22.550Z,34.5546,28.467,30.24,4,155km SE of Karpathos - Greece
228,2015-05-05T13:31:27.020Z,34.9869,26.9559,10,4.2,62km SSW of Karpathos - Greece
229,2015-05-04T05:48:18.340Z,34.356,25.82,13.6,4,72km S of Ierapetra - Greece
230,2015-05-04T04:07:38.160Z,34.4475,25.1227,45.92,4.7,61km S of Pirgos - Greece
231,2015-05-04T00:42:02.400Z,38.2583,21.5678,23.2,4.2,10km S of Galatas - Greece
232,2015-05-03T16:46:18.630Z,35.0334,26.8771,10,4,60km SSW of Karpathos - Greece
233,2015-05-02T12:45:57.610Z,40.8708,32.458,5,4.1,7km W of Gozyeri - Turkey
234,2015-05-02T08:23:46.300Z,34.45,25.78,13,5,62km S of Ierapetra - Greece
235,2015-05-01T21:25:33.370Z,42.767,17.93,2,4,11km SE of Podgora - Croatia
236,2015-04-28T16:16:49.790Z,44.5195,17.5957,9.48,4,7km SE of Maslovare - Bosnia and Herzegovina
237,2015-04-27T14:16:29.870Z,35.0105,26.8346,10,4.5,57km ESE of Palaikastron - Greece
238,2015-04-24T15:02:54.100Z,44.228,11.9,20.9,4.5,6km SSE of Faenza - Italy
